k,theta,sigma,v0,rho,T,Strike,Price
0.148848,0.453388,0.454163,0.530571,-0.629194,0.403321,0.873000,0.114393
0.844422,0.322090,0.780765,0.582553,-0.987970,0.780904,0.645800,0.078286
0.950352,0.530018,0.773835,0.664871,-0.139640,1.478187,0.963240,0.324814
0.601278,0.469899,0.782844,0.292070,-0.551875,1.548146,0.755640,0.137852
0.895605,0.602066,0.050442,0.649071,-0.318532,0.844538,0.820920,0.179468
0.265964,0.490992,0.951639,0.181233,-0.971338,1.981696,0.821880,0.130826
0.862638,0.140232,0.493764,0.139442,-0.080140,1.312013,1.095480,0.220928
0.434661,0.607438,0.743541,0.764806,-0.728689,1.727737,1.236840,0.533220
0.446541,0.044958,0.564252,0.057519,-0.454657,1.201612,1.259560,0.273915
0.666816,0.770889,0.773934,0.104445,-0.910948,0.781096,1.360280,0.396324
0.145482,0.786768,0.473469,0.179969,-0.424165,1.223654,1.038920,0.218620
0.458025,0.030422,0.708296,0.691573,-0.425057,0.596329,1.299480,0.430045
0.109743,0.547635,0.050145,0.334809,-0.776011,1.173629,1.380120,0.520293
0.266064,0.372176,0.051927,0.295940,-0.343480,0.662263,0.855800,0.101903
0.521979,0.432295,0.886893,0.030500,-0.194684,0.551671,1.232840,0.249665
0.301308,0.178468,0.933423,0.203748,-0.202406,0.861213,1.260520,0.324224
0.029949,0.768124,0.647115,0.699709,-0.760369,1.454996,0.630200,0.150600
0.336255,0.158007,0.582666,0.623949,-0.672853,1.416854,1.396120,0.575595
0.147066,0.675220,0.481388,0.243011,-0.372092,1.480487,1.378840,0.501023
0.692555,0.675141,0.509603,0.198376,-0.015988,0.947079,0.639080,0.050937
0.700773,0.631533,0.559797,0.259127,-0.989158,0.118888,1.227320,0.235389
0.096972,0.335994,0.452184,0.387028,-0.218542,0.967971,1.010200,0.238246
0.829176,0.189923,0.343680,0.720961,-0.197950,1.095238,0.940680,0.257955
0.969755,0.624897,0.121425,0.498734,-0.118750,1.994154,0.704120,0.213994
0.522077,0.728940,0.827097,0.131305,-0.283189,1.630563,1.379720,0.527365
0.101427,0.410886,0.096477,0.168119,-0.778981,1.685379,1.302840,0.424052
0.800169,0.737709,0.889170,0.250358,-0.648103,0.278546,1.012760,0.117045
0.838283,0.613758,0.710178,0.346185,-0.967180,0.977171,0.643480,0.080335
0.292002,0.131779,0.261608,0.602777,-0.376051,0.323779,1.235880,0.329554
0.733641,0.406936,0.928076,0.039744,-0.510296,0.912196,0.671640,0.026437
0.795714,0.162431,0.956391,0.087065,-0.346352,0.410796,1.269160,0.277915
0.737898,0.097650,0.777102,0.391847,-0.457429,0.916221,0.877400,0.133079
0.965994,0.148211,0.186072,0.113846,-0.224581,1.404971,0.626920,0.024460
0.310910,0.608544,0.271608,0.014385,-0.001732,0.819813,1.286280,0.312836
0.016188,0.293729,0.466440,0.706425,-0.486931,0.529438,0.976360,0.220939
0.422979,0.421709,0.346155,0.102470,-0.549103,0.199579,0.898440,0.021746
0.264876,0.100100,0.952728,0.158639,-0.063211,1.900813,0.647000,0.041576
0.752847,0.429688,0.919265,0.467055,-0.167260,1.116704,1.116040,0.335948
0.013910,0.103655,0.746016,0.034293,-0.485644,0.991929,0.677800,0.007837
0.474756,0.583580,0.918276,0.787321,-0.060538,1.318337,1.372360,0.633082
0.013118,0.195532,0.599298,0.416258,-0.712552,0.867346,0.622840,0.062996
0.201714,0.466502,0.410505,0.520459,-0.489011,0.731263,1.060840,0.272630
0.479211,0.476851,0.665528,0.777762,-0.464755,1.547379,0.600040,0.143132
0.937581,0.135097,0.734532,0.389556,-0.423769,0.805438,0.773400,0.084175
0.012425,0.398009,0.441590,0.140785,-0.619493,0.467338,1.343800,0.353192
0.218445,0.104761,0.535937,0.271846,-0.208445,1.206212,1.266200,0.383146
0.202209,0.417996,0.714732,0.576233,-0.048956,1.593379,0.861000,0.252271
0.833730,0.711323,0.900654,0.218837,-0.439609,0.213379,1.136840,0.176951
0.727700,0.369964,0.428820,0.228870,-0.082318,1.420688,0.771320,0.120368
0.462480,0.698999,0.640580,0.668979,-0.638699,0.119079,1.275240,0.305556
0.277053,0.677906,0.815613,0.705477,-0.615037,1.955054,0.795960,0.261379
0.743541,0.770336,0.340313,0.728229,-0.712058,0.707496,0.826520,0.177495
0.125978,0.419576,0.966687,0.244354,-0.716314,1.675988,1.091560,0.233344
0.691962,0.319167,0.864618,0.015096,-0.771556,0.437054,0.877160,0.021374
0.119246,0.719776,0.517425,0.213860,-0.945202,0.678554,1.022120,0.159184
0.867885,0.623554,0.741957,0.264341,-0.352885,0.180029,0.938440,0.060627
0.410901,0.799645,0.060936,0.085484,-0.156667,1.413787,1.397160,0.522973
0.154392,0.717327,0.807000,0.194584,-0.259033,1.750354,1.281400,0.415619
0.964113,0.529149,0.750471,0.336468,-0.205276,0.470212,1.093640,0.218739
0.658500,0.609176,0.497526,0.269160,-0.273586,0.378404,0.939160,0.102063
0.532968,0.411439,0.676023,0.194189,-0.373082,1.805746,1.064600,0.288449
0.571578,0.692758,0.504950,0.748453,-0.146272,1.421263,0.917720,0.325957
0.053412,0.367278,0.776409,0.118744,-0.855310,0.874054,1.223640,0.235258
0.798485,0.607517,0.763737,0.674667,-0.811156,1.180338,1.182360,0.426283
0.525048,0.038006,0.815910,0.612889,-0.876200,1.013013,0.652760,0.094172
0.664242,0.787953,0.738987,0.084062,-0.886891,0.525988,0.609960,0.013765
0.818880,0.094253,0.950451,0.050567,-0.861845,1.235921,1.382280,0.382717
0.394467,0.538076,0.438621,0.581289,-0.144985,1.718154,0.805320,0.245202
0.336452,0.240325,0.869568,0.384105,-0.733936,1.053454,1.356040,0.432844
0.113901,0.699709,0.131225,0.611309,-0.132511,0.226029,1.392920,0.436970
0.548114,0.230924,0.475548,0.302498,-0.725324,0.232546,0.602040,0.003913
0.022326,0.636510,0.809970,0.242142,-0.346252,0.128279,0.940040,0.042422
0.144888,0.161167,0.811950,0.632007,-0.314375,1.412062,0.708040,0.158457
0.700673,0.662501,0.079548,0.430873,-0.565636,1.287287,0.753640,0.168017
0.708692,0.767887,0.423177,0.489096,-0.897880,0.498004,1.231800,0.348733
0.506237,0.180127,0.081231,0.563830,-0.044599,1.320829,0.673640,0.120366
0.847590,0.290411,0.583260,0.659894,-0.851351,1.922471,1.109080,0.401179
0.190724,0.687860,0.326354,0.416021,-0.277348,1.610438,0.853480,0.232138
0.731166,0.606964,0.671766,0.530650,-0.349024,0.637729,0.825240,0.132690
0.637215,0.035557,0.043908,0.174360,-0.677507,0.879804,0.912840,0.095018
0.846897,0.372255,0.495347,0.798381,-0.857390,0.088221,1.062760,0.140637
0.683547,0.469188,0.226662,0.177046,-0.686020,1.361463,0.846040,0.152888
0.506930,0.157375,0.393576,0.751929,-0.063508,1.408804,1.133080,0.436484
0.191517,0.469346,0.673053,0.767808,-0.371993,1.809963,0.617000,0.171550
0.870657,0.101047,0.985299,0.399273,-0.015691,0.876354,1.086280,0.245155
0.690674,0.012410,0.748788,0.194663,-0.446737,1.556579,1.146920,0.228222
0.750768,0.189607,0.320613,0.724042,-0.582763,1.087954,1.113320,0.368766
0.512277,0.684384,0.843135,0.299496,-0.032620,1.843312,0.992440,0.319725
0.990546,0.792140,0.865310,0.634535,-0.206167,0.535379,1.023800,0.243621
0.170133,0.676800,0.233889,0.076952,-0.874220,1.385038,0.943320,0.139691
0.408822,0.632007,0.508811,0.414915,-0.601177,1.661612,1.178200,0.436981
0.363777,0.710612,0.391101,0.033424,-0.294970,1.350154,0.889240,0.127786
0.932136,0.789691,0.264381,0.231951,-0.723046,1.463429,1.179960,0.441328
0.151817,0.353848,0.963717,0.167961,-0.043906,0.826329,0.741640,0.038223
0.416346,0.198692,0.113306,0.083509,-0.224680,0.548988,0.915000,0.051451
0.405852,0.544791,0.822939,0.742054,-0.665528,1.950454,1.108120,0.446700
0.352788,0.599380,0.557025,0.508767,-0.491090,0.957813,0.896440,0.204914
0.839967,0.282195,0.088458,0.750112,-0.833135,0.980429,0.794280,0.176156
0.915107,0.436482,0.898773,0.221049,-0.642460,0.469446,1.104200,0.188334
0.850758,0.416021,0.908772,0.182260,-0.149341,1.902729,0.927480,0.228537
0.253985,0.036900,0.933126,0.612967,-0.003019,0.798154,0.620520,0.067564
0.626721,0.791508,0.395259,0.207619,-0.715720,1.337121,1.109960,0.342134
0.196962,0.055070,0.020346,0.156743,-0.938173,1.231513,1.336200,0.405171
0.255866,0.216941,0.684933,0.319483,-0.191218,1.300512,1.105480,0.292280
0.174686,0.655312,0.808484,0.603804,-0.405355,0.747363,0.769160,0.130230
0.978666,0.087144,0.284379,0.121508,-0.739876,1.025279,0.880440,0.074858
0.719384,0.076558,0.794327,0.539577,-0.310612,1.565396,0.649080,0.096002
0.556133,0.048118,0.602169,0.088881,-0.892832,0.476729,1.183240,0.187487
0.376053,0.171516,0.358530,0.135018,-0.180427,0.585788,1.250120,0.286121
0.945600,0.722778,0.763836,0.113056,-0.895999,1.122071,1.062440,0.259614
0.536334,0.527253,0.209337,0.020784,-0.703543,1.122262,1.097160,0.216030
0.264678,0.463105,0.593061,0.496443,-0.816205,0.507396,1.192440,0.309158
0.358332,0.248462,0.254480,0.504264,-0.066676,1.306646,0.791240,0.173880
0.530195,0.396508,0.214584,0.260391,-0.461390,0.721488,0.712600,0.051114
0.431988,0.269555,0.642165,0.507424,-0.867982,1.972113,0.720360,0.166223
0.524355,0.048671,0.405456,0.251306,-0.351103,0.875396,1.057000,0.197328
0.137166,0.784872,0.607020,0.264894,-0.657706,1.197971,0.752520,0.104221
0.283388,0.281484,0.318533,0.509636,-0.093208,1.888929,1.223720,0.510383
0.934115,0.699473,0.810267,0.408357,-0.939955,0.619904,0.795720,0.107327
0.782250,0.610677,0.039552,0.029553,-0.221413,1.308562,0.705960,0.077359
0.658302,0.623949,0.592467,0.677511,-0.131026,1.073963,1.096120,0.383783
0.639294,0.245065,0.053312,0.686675,-0.108157,0.550904,1.203880,0.366805
0.166569,0.460024,0.380706,0.775787,-0.698495,1.898896,1.015240,0.426945
0.743738,0.156111,0.812246,0.447304,-0.215572,1.679821,1.118760,0.337134
0.250619,0.081218,0.570983,0.403697,-0.142213,0.309787,0.639240,0.014145
0.554748,0.198376,0.554055,0.718117,-0.546728,0.447979,1.263720,0.385210
0.868776,0.058151,0.952332,0.092911,-0.378328,1.518821,0.935000,0.078063
0.902039,0.418154,0.976290,0.526463,-0.578507,0.719188,0.808280,0.124852
0.512376,0.680829,0.471885,0.770415,-0.276755,1.819738,1.374920,0.703870
0.849966,0.675378,0.681072,0.437272,-0.578011,1.645704,1.202440,0.476144
0.487626,0.235980,0.987081,0.614390,-0.144292,1.684613,1.129080,0.401571
0.435948,0.566121,0.024801,0.500788,-0.780071,1.873404,0.907240,0.315559
0.348531,0.493678,0.861152,0.563119,-0.348233,0.622204,0.934360,0.183198
0.681863,0.160377,0.184983,0.135492,-0.604939,0.450854,1.187960,0.224160
0.796803,0.020547,0.359816,0.254308,-0.715621,1.627496,1.399720,0.453662
0.953222,0.624344,0.862440,0.144498,-0.747103,1.210429,1.135080,0.307226
0.595535,0.271213,0.065687,0.354322,-0.344471,1.961571,0.641240,0.109699
0.573063,0.110923,0.822345,0.247119,-0.243292,0.160096,0.758840,0.007775
0.073211,0.672850,0.592763,0.100732,-0.291109,1.720646,1.374200,0.432028
0.356946,0.392163,0.644837,0.494942,-0.781358,0.316113,1.316920,0.367110
0.250520,0.599775,0.837392,0.222787,-0.417532,1.503871,0.854040,0.149292
0.697011,0.591480,0.107664,0.116058,-0.549598,0.522346,0.622600,0.008240
0.543363,0.116927,0.958569,0.337811,-0.739282,0.333937,0.612440,0.014299
0.534849,0.466344,0.939956,0.192767,-0.176071,0.273371,1.130600,0.175307
0.416148,0.143708,0.559203,0.686833,-0.622165,0.208396,1.221080,0.291779
0.064599,0.781554,0.863331,0.650414,-0.217849,1.434679,0.848040,0.245286
0.717603,0.563277,0.092318,0.743634,-0.000247,1.838329,0.878760,0.335379
0.846006,0.552216,0.104496,0.210937,-0.634837,0.371504,1.088280,0.176690
0.228345,0.575680,0.621969,0.075452,-0.825709,1.000554,0.743160,0.043063
0.594942,0.052779,0.158450,0.258969,-0.671269,0.143613,0.708920,0.002621
0.509999,0.212280,0.570192,0.771600,-0.765814,1.594913,0.876280,0.268952
0.401595,0.614390,0.972726,0.284091,-0.793832,0.333746,0.892120,0.074041
0.779577,0.783766,0.171519,0.181865,-0.796999,0.273946,1.190520,0.229671
0.064104,0.114636,0.091130,0.339786,-0.149440,1.954096,1.147000,0.409112
0.793041,0.500314,0.412583,0.274452,-0.528115,1.359354,0.857880,0.184465
0.406743,0.448885,0.056282,0.627820,-0.151618,1.923238,0.718440,0.218168
0.201021,0.430636,0.173598,0.510900,-0.287248,0.518321,1.219720,0.348748
0.497130,0.495179,0.255768,0.458207,-0.503860,0.847413,1.222440,0.391492
0.341007,0.655944,0.689487,0.229818,-0.291505,0.470404,1.126360,0.211657
0.416247,0.731784,0.860163,0.411360,-0.892238,1.592996,0.881080,0.229379
0.247947,0.366646,0.958470,0.167803,-0.804523,0.960304,0.825720,0.076137
0.027078,0.554271,0.370014,0.526542,-0.576725,1.288438,0.815480,0.199484
0.418524,0.253913,0.793535,0.213939,-0.205870,0.381279,0.663080,0.010960
0.089150,0.376679,0.101724,0.791903,-0.780169,1.853663,0.624520,0.197900
0.018365,0.381656,0.204288,0.291201,-0.347044,0.900313,1.103000,0.264109
0.120732,0.702080,0.959757,0.156427,-0.344965,0.148788,0.895880,0.021955
0.411197,0.317587,0.799377,0.671112,-0.861943,0.997296,1.338440,0.488050
0.121721,0.157612,0.139839,0.137546,-0.727303,0.788571,1.365320,0.394242
0.367440,0.373440,0.399813,0.674193,-0.985792,0.331063,1.271240,0.361755
0.731561,0.640776,0.351996,0.190002,-0.380506,1.673113,1.183320,0.426408
0.217455,0.682409,0.263985,0.047328,-0.585040,1.544696,1.333640,0.406322
0.358826,0.461999,0.128355,0.556799,-0.718294,1.432954,0.944840,0.298432
0.519107,0.123721,0.956490,0.236770,-0.926293,1.216371,1.007640,0.153535
0.216762,0.239219,0.868082,0.705951,-0.526927,1.793479,0.696600,0.181647
0.827691,0.542816,0.255570,0.273031,-0.814820,1.481063,0.979080,0.274096
0.024602,0.203274,0.208149,0.680829,-0.788980,0.646546,1.185000,0.378013
0.979953,0.511690,0.256856,0.167566,-0.823234,1.325813,1.119480,0.324371
0.066578,0.022364,0.511088,0.162352,-0.167855,0.824796,0.664360,0.021957
0.133700,0.024181,0.029850,0.048513,-0.361795,0.463313,1.035960,0.079865
0.606228,0.279351,0.524057,0.080666,-0.875606,0.526754,1.356520,0.358046
0.673547,0.375889,0.609594,0.414599,-0.487031,1.807854,1.219800,0.449888
0.219534,0.364987,0.088160,0.727439,-0.619591,1.537413,0.953800,0.353905
0.268143,0.470057,0.344274,0.717801,-0.894416,1.713937,0.977240,0.368799
0.568608,0.327383,0.650778,0.029473,-0.095386,1.669088,1.200360,0.307075
0.556925,0.470531,0.016880,0.047960,-0.544847,0.675871,1.020680,0.124169
0.823830,0.264341,0.445254,0.657998,-0.979159,0.734138,1.150440,0.335235
0.560688,0.408911,0.355857,0.599064,-0.336452,1.316421,1.356360,0.574600
0.375558,0.215993,0.924909,0.226974,-0.293980,0.432262,0.713080,0.022860
0.920454,0.565252,0.486141,0.048355,-0.805513,1.853471,0.863560,0.204902
0.915405,0.445093,0.055887,0.071344,-0.347737,1.054413,0.852200,0.106328
0.518514,0.231477,0.580587,0.010830,-0.421393,1.720071,1.048120,0.161141
0.755817,0.088803,0.499803,0.435060,-0.065983,0.217979,1.106360,0.184195
0.448026,0.141180,0.104099,0.267422,-0.980248,0.438396,0.739320,0.030251
0.481191,0.549926,0.266361,0.229502,-0.283685,1.152929,0.893160,0.168731
0.032919,0.272004,0.172509,0.559643,-0.922432,1.981888,0.671960,0.186832
0.355065,0.531519,0.508019,0.391294,-0.962230,0.993654,0.752600,0.117455
0.553064,0.035398,0.228147,0.138020,-0.210820,1.448288,0.864520,0.085491
0.528018,0.328252,0.594546,0.287488,-0.377734,1.983613,0.752120,0.146995
0.600684,0.567938,0.607712,0.172622,-0.165677,0.830738,1.052280,0.207093
0.814128,0.098441,0.670775,0.169383,-0.621077,1.597787,1.065640,0.193732
0.537918,0.480801,0.049056,0.123247,-0.403375,1.118046,0.694840,0.053031
0.459410,0.580183,0.339720,0.685648,-0.120532,1.155804,1.105800,0.406791
0.723345,0.508213,0.261708,0.201773,-0.094990,1.040229,0.706760,0.073053
0.150333,0.175624,0.454362,0.515482,-0.543163,0.159904,0.689560,0.012331
0.874617,0.717011,0.891744,0.709506,-0.623552,1.551404,0.977640,0.350628
0.076676,0.044642,0.672063,0.751218,-0.440896,0.975638,0.809880,0.198630
0.597120,0.147263,0.188250,0.392637,-0.539897,1.404204,0.998840,0.254481
0.382290,0.408753,0.484755,0.632796,-0.435451,1.761279,0.946760,0.328899
0.137265,0.684621,0.529602,0.390346,-0.131126,1.066871,0.653720,0.080369
0.590685,0.453546,0.327147,0.292307,-0.285566,1.248188,1.178360,0.368032
0.090635,0.761014,0.209139,0.348950,-0.224780,0.737396,0.793480,0.097178
0.901743,0.238508,0.693051,0.036031,-0.585535,0.553204,0.663720,0.005922
0.820860,0.170726,0.507327,0.437509,-0.162409,1.576512,0.812120,0.161824
0.850560,0.268528,0.788486,0.531914,-0.841450,1.166346,1.190120,0.362327
0.110732,0.653495,0.396843,0.119928,-0.689882,1.797696,1.123960,0.267041
0.069945,0.456153,0.803931,0.116611,-0.733046,0.578696,1.360680,0.364081
0.258243,0.653890,0.610881,0.354006,-0.398623,1.432379,0.629080,0.094941
0.827592,0.582711,0.527721,0.536733,-0.909068,1.468796,1.130840,0.408957
0.715226,0.215677,0.116970,0.485146,-0.270419,0.505288,0.628920,0.032278
0.191715,0.305737,0.567717,0.410254,-0.380902,0.209354,0.976520,0.102463
0.203991,0.528833,0.848679,0.757696,-0.395554,0.618563,1.127480,0.333888
0.261312,0.439642,0.909762,0.510742,-0.087170,1.625579,0.682520,0.139758
0.138453,0.257626,0.468519,0.344131,-0.298337,0.864279,0.800920,0.106277
0.363876,0.217336,0.848382,0.075689,-0.509404,1.116896,0.600600,0.016641
0.524057,0.739526,0.495744,0.341287,-0.977476,1.772779,1.026360,0.341972
0.765816,0.207224,0.947283,0.515087,-0.633055,1.156571,1.389160,0.492808
0.123504,0.055623,0.171816,0.757143,-0.381101,0.489954,0.759880,0.108457
0.652659,0.066920,0.547620,0.629400,-0.954211,1.903304,0.688280,0.142543
0.583755,0.324065,0.675132,0.788348,-0.406049,1.704929,0.962680,0.340667
0.826503,0.268132,0.858678,0.258732,-0.410207,0.283913,1.318840,0.336849
0.701862,0.762752,0.999852,0.774286,-0.871150,0.816554,0.918360,0.234974
0.276261,0.135176,0.459410,0.140627,-0.303584,1.993196,1.398600,0.469872
0.020049,0.799329,0.613752,0.086354,-0.289228,0.944013,0.725960,0.023058
0.416643,0.223972,0.464460,0.459866,-0.754924,1.700138,0.781320,0.175633
0.249333,0.011304,0.363678,0.704450,-0.658498,1.620404,1.245320,0.521245
0.294378,0.037769,0.447828,0.597168,-0.731659,1.613121,0.694360,0.153351
0.511188,0.319720,0.205278,0.274769,-0.692851,1.675221,0.974120,0.249479
0.448323,0.278402,0.855113,0.024181,-0.932036,1.323129,1.274600,0.277186
0.421296,0.294677,0.657312,0.249568,-0.458122,0.145913,1.376120,0.378844
0.748491,0.620473,0.894417,0.457812,-0.847193,0.141313,0.627880,0.005527
0.210228,0.119218,0.919166,0.649308,-0.535837,1.165004,1.002280,0.284086
0.108159,0.250437,0.133502,0.113767,-0.107861,1.579004,0.964280,0.153563
0.491685,0.679091,0.350511,0.380313,-0.289723,1.490646,1.189080,0.445680
0.648698,0.134702,0.990645,0.637142,-0.915502,1.206021,1.330760,0.442638
0.760074,0.046538,0.548214,0.099547,-0.567419,1.705888,1.201080,0.244986
0.871943,0.041008,0.931145,0.134306,-0.668398,0.672804,0.945720,0.069549
0.995792,0.559248,0.153798,0.616523,-0.413770,0.518513,0.716200,0.079207
0.333087,0.413809,0.290517,0.692284,-0.697504,1.381779,0.927240,0.302646
0.030939,0.187395,0.344571,0.062811,-0.730669,1.826638,0.642680,0.024783
0.650679,0.688729,0.421395,0.400300,-0.713642,1.281921,0.892600,0.232739
0.321306,0.465949,0.351006,0.161167,-0.953221,1.242629,1.022760,0.204139
0.436244,0.127038,0.012921,0.160456,-0.348826,0.222004,1.262200,0.273003
0.872142,0.407568,0.492972,0.060916,-0.042917,0.645013,0.818360,0.040808
0.944808,0.460498,0.269033,0.706978,-0.496831,0.218938,0.975880,0.139251
0.931740,0.496522,0.727503,0.341919,-0.535144,1.578429,0.603800,0.097475
0.632660,0.781712,0.698298,0.309766,-0.805117,0.838979,1.079560,0.262177
0.989556,0.712903,0.816702,0.254387,-0.591376,1.910971,1.347160,0.587638
0.955302,0.353769,0.878577,0.694812,-0.326650,1.084696,0.853960,0.202638
0.809079,0.336942,0.012525,0.321616,-0.516235,0.640604,0.922760,0.137490
0.482676,0.681224,0.058758,0.367594,-0.228739,0.689288,1.143000,0.303671
0.861152,0.558774,0.275172,0.098520,-0.714631,1.106929,0.721960,0.077416
0.036285,0.048987,0.462083,0.589821,-0.296752,0.811571,0.708440,0.110083
0.973913,0.290174,0.519306,0.443513,-0.030739,1.559646,1.186360,0.417208
0.816107,0.440037,0.696912,0.789691,-0.972923,1.278854,0.697080,0.161790
0.659490,0.762120,0.657708,0.127592,-0.895010,0.426321,0.804680,0.041796
0.337740,0.697419,0.554352,0.445488,-0.900355,1.714129,1.005000,0.325683
0.655332,0.727281,0.652757,0.292544,-0.684832,0.895521,1.216920,0.357593
0.686319,0.171042,0.626424,0.436640,-0.663448,0.806013,0.935640,0.170109
0.779874,0.194742,0.078854,0.158954,-0.945400,1.680971,1.228040,0.362819
0.658598,0.393111,0.025791,0.545027,-0.157954,0.640221,1.059080,0.263668
0.027771,0.069053,0.549006,0.716616,-0.097465,1.264479,1.231480,0.516227
0.818088,0.640460,0.712752,0.620078,-0.638797,1.948154,0.798440,0.262489
0.385358,0.691336,0.586724,0.723252,-0.643153,0.227754,0.651800,0.027187
0.971538,0.693469,0.849768,0.083589,-0.745618,1.944129,1.349560,0.547357
0.742056,0.660289,0.717009,0.570308,-0.746806,1.419729,1.258680,0.498012
0.287745,0.374783,0.361797,0.530334,-0.779674,0.784546,0.617080,0.066558
0.776706,0.560907,0.036978,0.398720,-0.203395,1.353796,1.099800,0.374072
0.597615,0.032160,0.568707,0.494784,-0.145778,1.556196,0.696280,0.109534
0.270222,0.627820,0.383973,0.494547,-0.214384,1.251829,0.776120,0.174433
0.527721,0.381735,0.201516,0.604989,-0.529898,0.716504,1.011080,0.254523
0.062619,0.456864,0.084299,0.570703,-0.432086,1.693621,0.843960,0.270890
0.088556,0.659341,0.392288,0.069843,-0.138352,1.893146,1.184760,0.292491
0.866796,0.384263,0.086180,0.565331,-0.009652,1.942788,1.104760,0.441188
0.269529,0.246487,0.077171,0.102390,-0.839768,0.752538,0.996440,0.114772
0.195576,0.335599,0.706812,0.795063,-0.433372,0.504904,1.335160,0.468386
0.123305,0.622764,0.722553,0.103022,-0.683149,0.174662,1.061080,0.086569
0.193398,0.658709,0.067668,0.437983,-0.370705,1.965596,0.804760,0.243893
0.104792,0.469662,0.468122,0.785109,-0.827095,0.621246,1.347800,0.499897
0.060441,0.209120,0.399713,0.528675,-0.183496,1.568271,0.770520,0.197108
0.719681,0.274137,0.789774,0.100890,-0.638302,1.043296,1.108360,0.197298
0.706712,0.716142,0.638799,0.556246,-0.264082,0.425938,1.103240,0.256789
0.785120,0.637932,0.834621,0.732969,-0.468715,0.269154,1.058680,0.205543
0.460005,0.267027,0.287646,0.434823,-0.194485,1.928029,0.698680,0.150463
0.452481,0.696708,0.933522,0.093385,-0.922531,1.570379,0.839880,0.138871
0.841452,0.600881,0.820662,0.669295,-0.207454,0.625271,0.749240,0.112981
0.343482,0.573863,0.341601,0.342235,-0.311998,1.079713,1.281720,0.438612
0.847689,0.720250,0.664440,0.018808,-0.570586,0.434563,1.347080,0.354859
0.980250,0.663923,0.566331,0.699552,-0.431788,1.612163,1.246760,0.559338
0.470895,0.207777,0.125880,0.661790,-0.614245,0.552246,0.608680,0.048976
0.655629,0.017150,0.797892,0.696629,-0.277547,1.842738,0.875960,0.230840
0.701663,0.191977,0.835611,0.018493,-0.540688,0.808313,1.039000,0.092239
0.246264,0.787242,0.121227,0.437667,-0.519205,1.249721,0.817000,0.191756
0.249927,0.589426,0.296357,0.144340,-0.452479,0.768829,0.939480,0.114765
0.408525,0.740316,0.286952,0.305579,-0.309127,0.606488,0.899800,0.127882
0.872538,0.050093,0.507722,0.649150,-0.964112,1.773546,0.624680,0.104510
0.841650,0.324223,0.272498,0.530413,-0.455647,1.435446,1.070280,0.349878
0.619592,0.584765,0.692358,0.767492,-0.064300,0.496279,1.357320,0.489495
0.119643,0.535785,0.769776,0.748216,-0.219433,1.717004,1.139320,0.484785
0.115683,0.492967,0.718592,0.177204,-0.764428,1.933779,1.263080,0.342114
0.913821,0.402038,0.179439,0.629479,-0.899960,0.150129,1.150040,0.216772
0.457728,0.093463,0.594743,0.621974,-0.890752,0.984071,0.711080,0.119782
0.284577,0.754220,0.217652,0.430952,-0.017275,1.557346,1.014040,0.346333
0.967874,0.123405,0.176073,0.039664,-0.097663,1.687871,0.845720,0.072120
0.342987,0.089119,0.172014,0.094096,-0.219235,0.192871,0.618760,0.000012
0.112019,0.010592,0.847491,0.467371,-0.175577,1.694771,0.715800,0.138717
0.398922,0.421472,0.365360,0.420761,-0.562766,0.466188,0.936760,0.138476
0.499901,0.232978,0.824918,0.435771,-0.957577,1.095429,0.771080,0.123133
0.406247,0.368305,0.258144,0.433164,-0.399712,1.102712,0.863800,0.183462
0.574547,0.416495,0.618702,0.041561,-0.115285,0.261871,0.614920,0.000092
0.054204,0.593297,0.023513,0.333387,-0.861251,1.323321,0.668040,0.090572
0.058956,0.472585,0.156669,0.573863,-0.453469,1.762621,1.157000,0.487417
0.381498,0.700026,0.694833,0.528359,-0.565835,1.622896,1.093000,0.395612
0.919365,0.652705,0.609989,0.322248,-0.712651,1.487196,1.041320,0.329848
0.380508,0.131937,0.476439,0.329437,-0.798385,1.872446,1.297320,0.434028
0.055590,0.228712,0.795516,0.521881,-0.850855,0.434371,0.979800,0.167128
0.558411,0.624818,0.893823,0.194347,-0.733540,1.895446,1.328520,0.480838
0.877785,0.149949,0.641274,0.284486,-0.909563,0.468679,0.772840,0.047282
0.312198,0.138178,0.264777,0.433401,-0.718690,1.343063,0.767960,0.145013
0.919860,0.323117,0.396149,0.231635,-0.952529,1.803254,1.252200,0.421453
0.996881,0.778078,0.989160,0.704292,-0.190526,0.836104,1.119400,0.370049
0.442383,0.681540,0.211515,0.752877,-0.258440,1.715279,1.007480,0.425060
0.701268,0.361748,0.143700,0.430636,-0.866003,1.313163,1.273400,0.468506
0.151026,0.161562,0.426048,0.754062,-0.804820,0.765379,1.370360,0.534751
0.705129,0.185104,0.494754,0.777841,-0.847885,1.506938,1.363320,0.573537
0.957182,0.686280,0.960351,0.073398,-0.762844,1.797888,0.781560,0.175311
0.218841,0.545660,0.759678,0.362222,-0.360212,0.426704,1.062840,0.187858
0.574844,0.104603,0.447927,0.508371,-0.946391,1.076646,1.351320,0.473866
0.380409,0.114478,0.924216,0.675061,-0.083407,1.444646,0.891080,0.247262
0.127365,0.685490,0.965597,0.390583,-0.843827,1.524763,0.639960,0.101670
0.176568,0.619209,0.742649,0.369332,-0.447925,1.567696,1.104440,0.334974
